epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,57882.8,0.34294,0.25706,0.87047,0.99655,0.88889,0.95704,0.91363,0.32505,0.24694,0.7433,0.000707498,0.000707498,0.000707498
155,58258.3,0.35776,0.26798,0.87538,1,0.94145,0.96586,0.92136,0.31991,0.24508,0.74663,0.000702782,0.000702782,0.000702782
156,58633.8,0.34963,0.25158,0.8688,1,0.94191,0.9705,0.92941,0.34191,0.24977,0.74429,0.000698066,0.000698066,0.000698066
157,59009.2,0.36228,0.26186,0.86982,0.99802,0.94444,0.96336,0.92824,0.33148,0.24689,0.74392,0.000693351,0.000693351,0.000693351
158,59385,0.34652,0.26091,0.86592,0.99797,0.94444,0.95934,0.91686,0.35416,0.21532,0.74976,0.000688635,0.000688635,0.000688635
159,59760.5,0.34531,0.25672,0.8692,0.99815,0.94444,0.96139,0.90285,0.36884,0.21337,0.75116,0.000683919,0.000683919,0.000683919
160,60135.4,0.34064,0.24947,0.86446,0.9994,0.94444,0.95498,0.9013,0.33382,0.21453,0.75079,0.000679204,0.000679204,0.000679204
161,60511.2,0.33573,0.24068,0.8567,1,0.94213,0.95291,0.89918,0.34346,0.25649,0.7562,0.000674488,0.000674488,0.000674488
162,60886.6,0.33624,0.25153,0.86666,1,0.94286,0.95934,0.89531,0.36368,0.23931,0.7573,0.000669772,0.000669772,0.000669772
163,61262,0.3361,0.24904,0.86385,0.99831,0.94444,0.95647,0.90107,0.32185,0.22983,0.74164,0.000665057,0.000665057,0.000665057
164,61637.2,0.34115,0.24052,0.86713,1,0.94228,0.95811,0.91416,0.32106,0.25343,0.75416,0.000660341,0.000660341,0.000660341
165,62012.8,0.34645,0.24674,0.8561,0.99666,0.88889,0.95314,0.89569,0.3362,0.27062,0.74958,0.000655625,0.000655625,0.000655625
166,62387.8,0.35684,0.25861,0.87407,1,0.94159,0.95708,0.90324,0.33023,0.24843,0.74418,0.000650909,0.000650909,0.000650909
167,62762.8,0.33255,0.24416,0.85193,1,0.9432,0.96083,0.91691,0.32927,0.22912,0.7441,0.000646194,0.000646194,0.000646194
168,63137.9,0.32266,0.24425,0.85299,0.9974,0.94444,0.96083,0.91259,0.30587,0.2125,0.73805,0.000641478,0.000641478,0.000641478
169,63512.8,0.3156,0.24084,0.85799,1,0.94428,0.9585,0.91658,0.30065,0.21971,0.74054,0.000636762,0.000636762,0.000636762
170,63887.8,0.32833,0.24704,0.86126,0.99742,0.94444,0.96586,0.9319,0.31699,0.21959,0.74405,0.000632047,0.000632047,0.000632047
171,64263.3,0.31531,0.24464,0.86497,0.99749,0.94444,0.96686,0.92582,0.33992,0.21717,0.74415,0.000627331,0.000627331,0.000627331
172,64638.4,0.33437,0.24582,0.8704,1,0.94414,0.96139,0.92118,0.33241,0.23869,0.74085,0.000622615,0.000622615,0.000622615
173,65013.6,0.32461,0.24342,0.86432,1,0.94359,0.96083,0.913,0.3527,0.25446,0.74658,0.0006179,0.0006179,0.0006179
174,65388.2,0.32565,0.23922,0.8663,0.99754,0.94444,0.96496,0.90786,0.36563,0.22321,0.76197,0.000613184,0.000613184,0.000613184
175,65763.3,0.34299,0.25804,0.86568,0.99789,0.94444,0.96083,0.90835,0.3393,0.21062,0.74624,0.000608468,0.000608468,0.000608468
176,66138.4,0.32585,0.23704,0.85126,0.99824,0.94444,0.96139,0.90199,0.33814,0.19673,0.74206,0.000603752,0.000603752,0.000603752
177,66513.5,0.33159,0.23793,0.85588,0.9971,0.94444,0.96686,0.92234,0.32114,0.21654,0.73811,0.000599037,0.000599037,0.000599037
178,66888.2,0.30947,0.22731,0.85066,0.99737,0.94444,0.96916,0.91349,0.35632,0.20991,0.74165,0.000594321,0.000594321,0.000594321
179,67262.9,0.32848,0.23752,0.85138,0.99773,0.94444,0.96686,0.91664,0.34749,0.20054,0.7403,0.000589605,0.000589605,0.000589605
180,67637.5,0.32926,0.24686,0.85233,0.99803,0.94444,0.96795,0.92461,0.3542,0.23731,0.73834,0.00058489,0.00058489,0.00058489
181,68012.3,0.32862,0.23987,0.86327,0.99879,0.94444,0.96496,0.92434,0.3301,0.23345,0.73824,0.000580174,0.000580174,0.000580174
182,68386.9,0.31761,0.24277,0.85137,0.99819,0.94444,0.95498,0.90694,0.32331,0.22468,0.73928,0.000575458,0.000575458,0.000575458
